Tabelle: 12521-03i
Ausländische Bevölkerung nach Geschlecht und;;;;;;;
Staatsangehörigkeiten (215);;;;;;;
- kreisfreie Städte und Kreise - Stichtag;;;;;;;
Ausländerstatistik (AZR);;;;;;;
;;;;;Ausländische Bevölkerung;Ausländische Bevölkerung;Ausländische Bevölkerung
;;;;;Insgesamt;männlich;weiblich
;;;;;Anzahl;Anzahl;Anzahl
31.12.2024;051;  Düsseldorf, Regierungsbezirk;231;  Cote d'Ivoire;505;270;235
31.12.2024;051;  Düsseldorf, Regierungsbezirk;232;  Nigeria;9875;5215;4660
31.12.2024;051;  Düsseldorf, Regierungsbezirk;233;  Simbabwe;325;115;205
31.12.2024;051;  Düsseldorf, Regierungsbezirk;236;  Gabun;30;15;10
31.12.2024;051;  Düsseldorf, Regierungsbezirk;237;  Gambia;580;390;190
31.12.2024;051;  Düsseldorf, Regierungsbezirk;238;  Ghana;7315;3810;3505
31.12.2024;051;  Düsseldorf, Regierungsbezirk;239;  Mauretanien;60;40;15
31.12.2024;051;  Düsseldorf, Regierungsbezirk;242;  Kap Verde;15;5;10
31.12.2024;051;  Düsseldorf, Regierungsbezirk;243;  Kenia;700;220;485
31.12.2024;051;  Düsseldorf, Regierungsbezirk;244;  Komoren;5;-;-
31.12.2024;051;  Düsseldorf, Regierungsbezirk;245;  Kongo (Republik);350;175;175
31.12.2024;051;  Düsseldorf, Regierungsbezirk;246;  Kongo, Demokratische Republik;1525;765;755
31.12.2024;051;  Düsseldorf, Regierungsbezirk;247;  Liberia;60;40;20
31.12.2024;051;  Düsseldorf, Regierungsbezirk;248;  Libyen;1615;975;640
31.12.2024;051;  Düsseldorf, Regierungsbezirk;249;  Madagaskar;235;40;190
31.12.2024;051;  Düsseldorf, Regierungsbezirk;251;  Mali;245;180;65
31.12.2024;051;  Düsseldorf, Regierungsbezirk;252;  Marokko;18190;8880;9310
31.12.2024;051;  Düsseldorf, Regierungsbezirk;253;  Mauritius;200;95;105
31.12.2024;051;  Düsseldorf, Regierungsbezirk;254;  Mosambik;70;40;35
