Tabelle: 22161-08i
Empfänger/-innen von Eingliederungshilfe nach Alter (6),;;;;;;;;;;
Leistungsart (5) und Träger (2) - Region - Stichtag;;;;;;;;;;
(Trägerprinzip);;;;;;;;;;
Statistik der Empfänger/-innen von Eingliederungshilfe nach dem SGB IX;;;;;;;;;;
;;;;Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip)
;;;;Insgesamt;unter 7 Jahre;7 bis unter 18 Jahre;18 bis unter 25 Jahre;25 bis unter 50 Jahre;50 bis unter 65 Jahre;65 Jahre und mehr
;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2022;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Sozialen Teilhabe;1970;130;340;75;355;490;580
31.12.2022;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Sonstige Leistungen der Eingliederungshilfe;15;5;10;-;0;-;0
31.12.2022;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Insgesamt;8595;545;6210;360;385;495;595
31.12.2022;Rheinland;Landschaftsverband (ohne Delegation);Leistungen zur medizinischen Rehabilitation;9495;9320;40;45;80;10;-
31.12.2022;Rheinland;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe am Arbeitsleben;34695;-;0;3100;20275;10815;495
31.12.2022;Rheinland;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe an Bildung;435;-;165;210;55;-;-
31.12.2022;Rheinland;Landschaftsverband (ohne Delegation);Leistungen zur Sozialen Teilhabe;79435;15095;610;3505;29975;23180;7075
31.12.2022;Rheinland;Landschaftsverband (ohne Delegation);Sonstige Leistungen der Eingliederungshilfe;1875;45;510;445;600;190;80
31.12.2022;Rheinland;Landschaftsverband (ohne Delegation);Insgesamt;100465;19740;1280;6010;39265;26955;7210
31.12.2022;Rheinland;Insgesamt;Leistungen zur medizinischen Rehabilitation;9860;9415;295;45;80;10;15
31.12.2022;Rheinland;Insgesamt;Leistungen zur Teilhabe am Arbeitsleben;34705;-;5;3105;20280;10815;495
31.12.2022;Rheinland;Insgesamt;Leistungen zur Teilhabe an Bildung;6845;325;5915;520;80;5;-
31.12.2022;Rheinland;Insgesamt;Leistungen zur Sozialen Teilhabe;81405;15225;950;3580;30330;23670;7655
31.12.2022;Rheinland;Insgesamt;Sonstige Leistungen der Eingliederungshilfe;1890;50;520;445;605;190;85
31.12.2022;Rheinland;Insgesamt;Insgesamt;109055;20290;7490;6375;39650;27450;7805
31.12.2022;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur medizinischen Rehabilitation;25;15;10;-;-;-;-
31.12.2022;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe am Arbeitsleben;-;-;-;-;-;-;-
31.12.2022;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe an Bildung;5930;340;5260;325;5;-;-
31.12.2022;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Sozialen Teilhabe;1320;230;345;35;225;215;270
31.12.2022;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Sonstige Leistungen der Eingliederungshilfe;20;5;15;0;-;0;-
31.12.2022;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Insgesamt;7200;575;5550;360;225;215;270
31.12.2022;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Leistungen zur medizinischen Rehabilitation;5800;5755;15;5;25;-;-
31.12.2022;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe am Arbeitsleben;37335;-;-;2840;21595;12460;440
31.12.2022;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe an Bildung;1230;10;750;450;15;-;-
31.12.2022;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Leistungen zur Sozialen Teilhabe;81765;19970;80;3520;28935;22215;7045
31.12.2022;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Sonstige Leistungen der Eingliederungshilfe;1270;50;485;255;255;135;90
31.12.2022;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Insgesamt;104055;23300;1315;6110;39245;26830;7255
31.12.2022;Westfalen-Lippe;Insgesamt;Leistungen zur medizinischen Rehabilitation;5825;5770;30;5;25;-;-
31.12.2022;Westfalen-Lippe;Insgesamt;Leistungen zur Teilhabe am Arbeitsleben;37335;-;-;2840;21595;12460;440
31.12.2022;Westfalen-Lippe;Insgesamt;Leistungen zur Teilhabe an Bildung;7160;350;6010;775;20;-;-
31.12.2022;Westfalen-Lippe;Insgesamt;Leistungen zur Sozialen Teilhabe;83085;20195;425;3555;29160;22425;7315
31.12.2022;Westfalen-Lippe;Insgesamt;Sonstige Leistungen der Eingliederungshilfe;1295;55;500;255;255;140;90
31.12.2022;Westfalen-Lippe;Insgesamt;Insgesamt;111255;23875;6865;6475;39470;27045;7525
31.12.2022;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur medizinischen Rehabilitation;390;105;265;-;5;-;15
31.12.2022;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe am Arbeitsleben;10;-;5;0;5;-;-
31.12.2022;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe an Bildung;12340;665;11010;630;30;5;-
31.12.2022;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Sozialen Teilhabe;3290;360;690;110;580;700;850
31.12.2022;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Sonstige Leistungen der Eingliederungshilfe;40;10;25;0;0;0;0
31.12.2022;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Insgesamt;15790;1120;11765;725;610;705;865
31.12.2022;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Leistungen zur medizinischen Rehabilitation;15300;15075;60;50;105;10;-
31.12.2022;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe am Arbeitsleben;72025;-;0;5940;41870;23275;935
31.12.2022;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe an Bildung;1665;10;920;665;70;-;-
31.12.2022;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Leistungen zur Sozialen Teilhabe;161200;35060;690;7025;58910;45395;14120
31.12.2022;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Sonstige Leistungen der Eingliederungshilfe;3145;95;995;700;855;325;170
31.12.2022;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Insgesamt;204520;43040;2595;12125;78510;53785;14465
31.12.2022;Nordrhein-Westfalen;Insgesamt;Leistungen zur medizinischen Rehabilitation;15690;15180;325;50;105;10;15
31.12.2022;Nordrhein-Westfalen;Insgesamt;Leistungen zur Teilhabe am Arbeitsleben;72035;-;5;5945;41875;23275;935
31.12.2022;Nordrhein-Westfalen;Insgesamt;Leistungen zur Teilhabe an Bildung;14005;675;11925;1295;100;5;-
31.12.2022;Nordrhein-Westfalen;Insgesamt;Leistungen zur Sozialen Teilhabe;164490;35420;1375;7135;59485;46095;14970
31.12.2022;Nordrhein-Westfalen;Insgesamt;Sonstige Leistungen der Eingliederungshilfe;3185;105;1020;705;860;325;170
31.12.2022;Nordrhein-Westfalen;Insgesamt;Insgesamt;220315;44160;14355;12845;79120;54495;15335
__________
